"filename", "language", "JSON with Comments", "JSON", "TypeScript", "SCSS", "TypeScript React", "XML", "Markdown", "JavaScript", "Docker", "comment", "blank", "total"
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\CustomPriceCard\CustomPriceCard.tsx", "TypeScript React", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 4, 48
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\MarketMoverCard\MarketMoverCard.tsx", "TypeScript React", 0, 0, 0, 0, 80, 0, 0, 0, 0, 2, 3, 85
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\PaperCard\PaperCard.tsx", "TypeScript React", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\ServiceCard\ServiceCard.tsx", "TypeScript React", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\TeamMemberCard\TeamMemberCard.tsx", "TypeScript React", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 3, 43
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\ValuesCard\ValuesCard.tsx", "TypeScript React", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Charts\LineChartComponent\LineChartComponent.tsx", "TypeScript React", 0, 0, 0, 0, 98, 0, 0, 0, 0, 1, 7, 106
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Charts\WorldMapChart\WorldMapChart.tsx", "TypeScript React", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Charts\WorldMapChart\features.json", "JSON", 0, 11292, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11293
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\FloatModal\FloatModal.tsx", "TypeScript React", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Footer\Footer.tsx", "TypeScript React", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 3, 111
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeaderText\HeaderText.tsx", "TypeScript React", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroSearch\HeroSearch.tsx", "TypeScript React", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 8, 79
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroSection\AboutHero.tsx", "TypeScript React", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroSection\HeroSection.tsx", "TypeScript React", 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 4, 81
